sample_idx,lambda_idx,lambda_nm,score,center_score,shape_score,edge_score,bandwidth_score,coef_a,fit_mse,r2
123,0,1000.0,0.0782959833741188,0.0,0.0,0.7829598188400269,0.0782959833741188,1.2890629768371582,0.46207913756370544,-40.440208435058594
124,0,1000.0,0.5511033535003662,0.8230543732643127,0.0,0.5727070569992065,0.5511033535003662,1.0818067789077759,0.09286054968833923,-0.3850383758544922
125,0,1000.0,0.06348152458667755,0.0,0.0,0.6348152756690979,0.06348152458667755,1.2414841651916504,0.3879595100879669,-42.682857513427734
126,0,1000.0,0.13671720027923584,0.17958764731884003,0.0,0.28964608907699585,0.13671720027923584,0.8085769414901733,0.12477267533540726,-0.3106805682182312
127,0,1000.0,0.6301999092102051,0.9474804997444153,0.0,0.6171162724494934,0.6301999092102051,1.188387155532837,0.37286296486854553,-5.204793453216553
128,0,1000.0,0.03009069710969925,0.0,0.0,0.3009069859981537,0.03009069710969925,0.7157158851623535,0.22307047247886658,-1.9731569290161133
129,0,1000.0,0.08172553777694702,0.0,0.0,0.8172553777694702,0.08172553777694702,1.3069572448730469,0.416146844625473,-121.04683685302734
130,0,1000.0,0.09289353340864182,0.0,0.0,0.9289353489875793,0.09289353340864182,1.3723878860473633,0.42370614409446716,-120.02265930175781
131,0,1000.0,0.13891907036304474,0.08695966750383377,0.0,0.8674326539039612,0.13891907036304474,1.4275178909301758,0.35716214776039124,-312.2321472167969
132,0,1000.0,0.841548502445221,0.9745668172836304,0.6052746176719666,0.7522602081298828,0.841548502445221,1.326499581336975,0.05320459604263306,0.6052746176719666
133,0,1000.0,0.07622608542442322,0.0,0.0,0.7622608542442322,0.07622608542442322,1.2627041339874268,0.3407294750213623,-8.953691482543945
134,0,1000.0,0.07207541167736053,0.0,0.0,0.7207541465759277,0.07207541167736053,1.1903574466705322,0.2613202631473541,-4.406744480133057
135,0,1000.0,0.08949999511241913,0.010254902765154839,0.0,0.8334705233573914,0.08949999511241913,1.3330347537994385,0.3361698389053345,-11.962784767150879
136,0,1000.0,0.08376748859882355,0.07539054751396179,0.0,0.3853316009044647,0.08376748859882355,1.0810314416885376,0.22771134972572327,-2.5240933895111084
137,0,1000.0,0.08005461096763611,0.0,0.0,0.8005461096763611,0.08005461096763611,1.4025325775146484,0.40360403060913086,-482.52008056640625
